"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.200728500E0,-5.961065053E-3,-2.339014169E-3,-4.666721284E-2,4.710450125E-2
1.210714500E0,-5.885265952E-3,-5.261804298E-3,-3.828347504E-2,3.908896777E-2
1.220701500E0,-7.666209068E-3,-5.591098471E-3,-9.692929387E-3,1.356407106E-2
1.230687500E0,-1.495256382E-3,5.734743546E-3,-6.548881531E-3,8.832379322E-3
1.240674500E0,-4.428893554E-3,3.438432324E-3,-1.747557342E-2,1.835302649E-2
1.250660500E0,-1.622738931E-2,5.722277099E-4,-2.241530120E-2,2.767853566E-2
1.260646500E0,-9.700400576E-3,-8.822032297E-3,-8.794212341E-3,1.578810299E-2
1.270633500E0,-1.063417579E-2,-2.685694671E-3,-1.702767670E-2,2.025439272E-2
1.280619500E0,-9.935287340E-3,3.835755195E-3,-1.807608247E-2,2.098017421E-2
1.290606500E0,-7.407737011E-3,9.249436352E-3,7.520104051E-3,1.403490668E-2
1.300592500E0,-4.707798888E-3,6.176372780E-3,1.575298369E-2,1.756324134E-2
1.310578500E0,3.639389249E-4,6.973393955E-3,8.717029095E-3,1.116903179E-2
1.320565500E0,-1.498890564E-2,-3.564293641E-3,-1.162426472E-3,1.545065425E-2
1.330551500E0,-8.831568283E-3,-2.947348435E-3,-6.401531696E-3,1.129880831E-2
1.340538500E0,-1.055186938E-2,-4.991105623E-3,2.879168987E-3,1.202259110E-2
1.350524500E0,-2.200542509E-3,-3.933061087E-3,-4.145675898E-4,4.525839495E-3
1.360510500E0,2.002152877E-3,-4.971846356E-3,-1.119098604E-2,1.240830532E-2
1.370497500E0,1.580116383E-3,3.649402605E-3,-1.059223115E-2,1.131416228E-2
1.380483500E0,-6.687638699E-4,-6.482565883E-3,-4.139828682E-4,6.530106228E-3
1.390470500E0,1.854133811E-3,-1.529047350E-2,-1.029402316E-2,1.852574708E-2
1.400456500E0,-2.190275621E-3,-9.701718483E-4,-4.023118258E-2,4.030243903E-2
1.410442500E0,4.424939831E-3,4.972732575E-3,-1.448530734E-2,1.594152723E-2
1.420429500E0,-4.584194231E-4,-3.532983628E-3,-1.029343843E-2,1.089252021E-2
1.430415500E0,-7.097057998E-4,4.176419461E-3,-4.217655122E-2,4.238876779E-2
1.440402500E0,4.124009223E-3,-5.008820859E-3,-3.020086884E-2,3.088993716E-2
1.450388500E0,-1.927671684E-3,-1.911884202E-3,1.384620667E-3,3.047686616E-3
1.460374500E0,-9.552628188E-3,8.070148886E-3,-2.807832956E-3,1.281654923E-2
1.470361500E0,-5.382825674E-3,1.561526349E-2,-1.403507173E-2,2.167474347E-2
1.480347500E0,-1.666773946E-3,1.554963306E-2,-8.945655227E-3,1.801649164E-2
1.490334500E0,-2.648363854E-3,1.242378466E-2,1.111204863E-2,1.687725929E-2
1.500320500E0,-3.431347143E-3,-6.016341797E-3,8.268547654E-3,1.078607399E-2
1.510306500E0,-2.274827273E-3,-3.667510701E-3,-8.195457458E-3,9.262342944E-3
1.520293500E0,-9.859456262E-3,9.262715927E-3,-9.692344666E-3,1.664176461E-2
1.530279500E0,-5.875401059E-4,-5.878310963E-3,1.306034088E-2,1.433430316E-2
1.540266500E0,-5.292863064E-3,-5.660588974E-3,-8.612948656E-4,7.797339020E-3
1.550252500E0,-1.316215781E-2,-1.177849417E-2,-2.301522553E-2,2.901165161E-2
1.560238500E0,-6.156517372E-3,-2.127661077E-2,-1.568047822E-2,2.713805942E-2
1.570225500E0,-9.566935594E-3,-1.421382294E-2,-8.644523621E-3,1.919080008E-2
1.580211500E0,5.499077914E-4,-4.686360620E-3,-1.403331757E-2,1.480534959E-2
1.590198500E0,2.834874045E-3,3.427372864E-3,-1.807432830E-2,1.861356331E-2
1.600184500E0,-5.385587113E-3,6.913354928E-3,-1.148802459E-2,1.444900460E-2
1.610170500E0,6.532029673E-3,6.986330920E-3,-1.163771331E-2,1.506361851E-2
1.620157500E0,5.103858670E-3,5.411534132E-3,-1.822460175E-2,1.968426234E-2
1.630143500E0,4.624597121E-3,4.390989435E-3,-2.870339692E-2,2.940327671E-2
1.640130500E0,-2.961582751E-3,5.992674278E-3,-1.613012910E-2,1.746036031E-2
1.650116500E0,-1.369109557E-3,8.102450185E-3,-7.299079299E-3,1.099093802E-2
1.660102500E0,-6.599679217E-4,1.471012364E-2,2.730064988E-3,1.497586559E-2
1.670089500E0,-5.501681753E-4,7.651826288E-3,-1.134067476E-2,1.369175060E-2
1.680075500E0,-7.867657067E-3,-5.957887913E-3,-2.406421602E-2,2.600928582E-2
1.690062500E0,-7.596926414E-3,-1.705966280E-3,-4.454993606E-3,8.970539556E-3
1.700048500E0,-5.634361014E-3,4.127732255E-3,-1.373627901E-2,1.541004733E-2
1.710034500E0,-7.918552968E-3,5.474044522E-4,-8.946824670E-3,1.196030118E-2
1.720021500E0,-2.702306702E-3,-3.725315910E-5,-4.754955769E-3,5.469319306E-3
1.730007500E0,2.751457575E-4,-4.725372512E-3,2.280414104E-3,5.254059293E-3
1.739993500E0,-2.718804530E-3,-9.265379151E-3,-6.551220417E-3,1.166866050E-2
1.749980500E0,-3.111157268E-3,-2.934799762E-4,-1.837662935E-2,1.864043820E-2
1.759966500E0,-3.247673765E-3,-6.867956780E-3,7.820066214E-3,1.090273593E-2
1.769953500E0,2.259165414E-3,-9.297040910E-3,-2.358766794E-3,9.854064078E-3
1.779939500E0,-7.482042331E-3,-3.173005278E-3,-1.148977876E-2,1.407351896E-2
1.789925500E0,-6.487172849E-3,-2.107989765E-3,-2.690830171E-2,2.775939000E-2
1.799912500E0,-7.538134488E-4,-7.099479111E-4,-1.104188204E-2,1.109033001E-2
1.809898500E0,-4.854152869E-3,-1.469574315E-3,-2.359936237E-3,5.593902733E-3
1.819885500E0,-8.947050793E-3,1.063102378E-2,-1.298842013E-2,1.902018512E-2
1.829871500E0,2.296676673E-4,3.948615594E-3,4.835647345E-4,3.984739289E-3
1.839857500E0,7.153125030E-3,1.284329498E-2,2.084064603E-2,2.550392030E-2
1.849844500E0,8.903182971E-3,1.178567528E-2,4.478967190E-2,4.716231035E-2
1.859830500E0,-8.697367832E-4,-9.443984181E-4,8.400811672E-2,8.401792669E-2
1.869817500E0,2.427926108E-3,1.371622489E-2,8.236095607E-2,8.353057366E-2
1.879803500E0,1.485992200E-3,-4.404972503E-3,1.512183523E-1,1.512897949E-1
1.889789500E0,-1.019711012E-3,9.037255514E-3,2.304036856E-1,2.305831089E-1
1.899776500E0,-9.455543852E-3,8.584936839E-3,2.052553958E-1,2.056523424E-1
1.909762500E0,-9.007304523E-3,-1.697874738E-2,2.497129458E-1,2.504515217E-1
1.919749500E0,-1.262952443E-2,4.202019302E-3,2.619880056E-1,2.623258984E-1
1.929735500E0,-1.122235315E-2,-4.256434953E-3,3.184218228E-1,3.186479494E-1
1.939721500E0,-1.548094655E-2,-9.430499040E-3,3.006106192E-1,3.011566675E-1
1.949708500E0,-1.691870379E-2,1.358137348E-2,2.420829141E-1,2.430531496E-1
1.959694500E0,-1.572601798E-2,-3.069788218E-4,3.224657571E-1,3.228491388E-1
1.969680500E0,-1.393919795E-2,2.823245851E-3,2.588468814E-1,2.592373043E-1
1.979667500E0,-1.916857761E-2,8.829131182E-3,2.100477737E-1,2.111053177E-1
1.989653500E0,-5.529022054E-3,9.163733530E-3,1.935820144E-1,1.938776429E-1
1.999640500E0,1.035966729E-3,-2.153369640E-3,1.820565677E-1,1.820722496E-1
2.009626500E0,-1.045774519E-3,-2.779300371E-3,1.462809634E-1,1.463111015E-1
2.019612500E0,-4.939177323E-3,1.818950018E-3,9.808061063E-2,9.822174013E-2
2.029599500E0,4.338001327E-3,2.363371477E-3,1.368488199E-1,1.369379541E-1
2.039585500E0,-3.121003888E-3,-1.417922387E-3,1.066122830E-1,1.066673805E-1
2.049572500E0,-4.034770662E-3,-8.659041161E-4,1.142464077E-1,1.143209117E-1
2.059558500E0,-6.308574672E-3,1.121704269E-2,9.882846951E-2,9.966286444E-2
2.069544500E0,-1.425957740E-3,9.169448270E-3,1.396940750E-1,1.400019526E-1
2.079531500E0,-1.142902253E-4,-1.092250748E-3,1.534654373E-1,1.534693667E-1
2.089517500E0,-2.105414706E-2,-7.285585022E-4,1.268214297E-1,1.285592585E-1
2.099504500E0,-1.333505495E-3,-3.454119307E-3,1.768174624E-1,1.768562247E-1
2.109490500E0,-1.163208765E-2,4.927576538E-3,1.774162173E-1,1.778654004E-1
2.119476500E0,-1.369926568E-2,8.553014696E-4,1.866975027E-1,1.872013861E-1
2.129463208E0,-6.970143726E-3,4.902926870E-3,1.759204996E-1,1.761267832E-1
2.139449208E0,-1.189275927E-2,-7.411875743E-3,1.784646231E-1,1.790139529E-1
2.149436208E0,-6.989942032E-3,4.968758295E-3,1.860981631E-1,1.862956633E-1
2.159422208E0,-1.786598470E-2,-2.739146445E-3,1.694832999E-1,1.704443759E-1
2.169408208E0,-1.141069060E-2,6.921477076E-3,1.325101858E-1,1.331805543E-1
2.179395208E0,-1.721456376E-2,1.039932786E-2,1.552622867E-1,1.565594612E-1
2.189381208E0,-1.123819545E-2,4.634110266E-3,1.697826773E-1,1.702173009E-1
2.199367208E0,-1.139694050E-2,1.096837157E-3,1.536168802E-1,1.540429784E-1
2.209354208E0,-2.059103159E-2,1.401518206E-3,1.793627554E-1,1.805462624E-1
2.219340208E0,3.319231351E-4,-7.108062641E-3,1.944807315E-1,1.946108672E-1
2.229327208E0,-2.430854284E-3,-3.326732232E-3,2.039105362E-1,2.039521585E-1
2.239313208E0,-1.128267769E-2,2.315789759E-3,1.917857498E-1,1.921312976E-1
2.249299208E0,-1.003056498E-2,-6.804149039E-4,2.241190982E-1,2.243444793E-1
2.259286208E0,-5.764753923E-3,2.311422620E-3,2.438774246E-1,2.439564988E-1
2.269272208E0,-1.969333095E-3,-1.360149155E-3,2.494159073E-1,2.494273904E-1
2.279259208E0,-8.472665730E-3,-5.774490908E-3,2.507625210E-1,2.509720557E-1
2.289245208E0,-3.398502236E-3,-4.549695658E-3,2.399837637E-1,2.400509454E-1
2.299231208E0,3.625730518E-4,-1.861762600E-3,2.735146219E-1,2.735211984E-1
2.309218208E0,-1.891941999E-3,-1.701960023E-3,2.780052835E-1,2.780169307E-1
2.319204208E0,-9.210735094E-5,5.035736323E-3,2.718680459E-1,2.719146953E-1
2.329190208E0,9.244731171E-3,8.890252858E-3,2.857879275E-1,2.860755864E-1
2.339177208E0,-7.487699969E-3,1.036970805E-2,3.217138052E-1,3.219679626E-1
2.349163208E0,-7.613785125E-3,1.148653995E-2,3.459627932E-1,3.462371508E-1
2.359150208E0,-1.708065339E-3,1.286058081E-2,3.601832217E-1,3.604167938E-1
2.369136208E0,-1.761422552E-2,1.774045686E-2,3.860793704E-1,3.868879230E-1
2.379122208E0,-1.185129429E-2,9.182668459E-3,4.025451297E-1,4.028242247E-1
2.389109208E0,-2.907916275E-3,1.208468727E-2,4.299375808E-1,4.301172155E-1
2.399095208E0,-3.416715399E-3,1.508876740E-2,4.287389016E-1,4.290179374E-1
2.409082208E0,-1.475864640E-2,1.224964270E-3,4.594245046E-1,4.596631306E-1
2.419068208E0,-4.098299746E-3,1.471744180E-2,5.944443154E-1,5.946406001E-1
2.429054208E0,-2.815982513E-4,2.043312707E-2,6.309695327E-1,6.313003590E-1
2.439041208E0,-1.437683235E-2,3.462127252E-3,5.709437710E-1,5.711352461E-1
2.449027208E0,-2.492891415E-2,-6.719615660E-3,6.670439297E-1,6.675434129E-1
2.459013208E0,-2.093070229E-3,1.764231500E-2,7.306610513E-1,7.308770102E-1
2.469000208E0,-9.005255713E-3,8.900147444E-3,7.356001943E-1,7.357091498E-1
2.478986208E0,-1.520306219E-2,-1.474382736E-2,6.448894143E-1,6.452370651E-1
2.488973208E0,2.285605792E-3,2.953072311E-2,6.291720986E-1,6.298688890E-1
2.498959208E0,1.018580399E-4,-5.159350117E-3,8.794522244E-1,8.794673639E-1
2.508945208E0,-8.857837357E-3,2.432947861E-2,8.902303970E-1,8.906068406E-1
2.518932208E0,-1.625626450E-2,1.809379314E-2,8.201754910E-1,8.205360976E-1
2.528918208E0,-5.259006314E-3,-1.839541810E-2,9.207663113E-1,9.209650637E-1
2.538905208E0,1.317752731E-2,-8.741445788E-3,9.556437832E-1,9.557746076E-1
